transactionAmount,dateTimeTransaction,merchantCategoryCode,acquiringInstitutionCode,cardAcceptorId,cardBalance,channel,transactionOrigin,transactionType,entityId,latitude,longitude
50713.87,1691141672,1803,2399,7035967,44748.51,POS,App,ECOM,HNKFAI9VE2,35.8939566,117.9249002
88507.3,1710100324,2247,2352,3175379,69918.39,ATM,On-Site,Payment Withdrawal,OTYJVD5UH6,44.0407757,16.1964988
41985.9,1706375631,1803,1320,3454855,21218.63,PHONE,App,Order,RWUDGJ6LC3,10.6968843,106.8907696
87111.75,1685673912,4117,7727,1157257,95675.79,ATM,Order,ECOM,EKCZSH8MA5,52.0825062,4.8461786
55044.06,1707966852,2247,9769,6194645,18506.68,ATM,Order,Payment Withdrawal,RWUDGJ6LC3,23.303506,58.026708
88044,1694260070,3326,2157,1145264,81408.3,WEB,Order,Order,PMXLSZ4QR1,31.2348663,121.4748751
87633.42,1689795540,26,1009,2097150,47910.48,ECOM,App,Subscription,RWUDGJ6LC3,18.467605,-69.911527
38842.76,1710483157,3326,3391,6350778,7878.75,WEB,App,Payment Withdrawal,EKCZSH8MA5,-21.1880429,-43.9759925
14327.77,1706592277,4101,4621,9275962,36405.67,ATM,Website,Subscription,RWUDGJ6LC3,53.0249087,23.0202458
95023.92,1689862901,4822,268,607481,6214.21,MOBILE,Order,Subscription,PMXLSZ4QR1,-21.009726,55.2695622
70355.33,1685684618,4532,5751,1101257,58172.15,ECOM,App,Payment Withdrawal,EKCZSH8MA5,-28.2252,28.30652
35108.72,1690460456,6074,9066,7045980,19373.77,WEB,On-Site,Payment Withdrawal,XYBTQO2NP7,28.4380408,-11.0987374
98513.69,1698484448,4867,5108,1464253,97130.23,POS,Website,Payment Withdrawal,EKCZSH8MA5,30.849762,116.359692
28941.08,1709333096,2247,3681,1420464,60989.47,POS,On-Site,ECOM,OTYJVD5UH6,25.130594,109.768451
14775.01,1684335862,1029,9793,8614808,92875.15,MOBILE,App,Purchase,XYBTQO2NP7,22.691253,114.346251
914.58,1691874163,26,9859,4920738,45068.62,MOBILE,App,Order,RWUDGJ6LC3,29.1416432,119.7889248
96597.5,1706787842,5997,3318,7575962,90204.58,POS,On-Site,Payment Withdrawal,RWUDGJ6LC3,43.656554,145.118845
41859.23,1700529455,7712,9157,1664407,52616.29,PHONE,ECOM,Order,HNKFAI9VE2,-6.5415,111.0064
3206.66,1703762562,8760,9570,6815751,34195.96,ECOM,App,Order,XYBTQO2NP7,38.6093672,-8.887687
96058.41,1704893850,2247,9210,1126707,85056.09,WEB,Order,Purchase,PMXLSZ4QR1,30.3312397,120.1534039
88219.1,1708968991,4924,5801,2189922,37131.44,MOBILE,App,Purchase,HNKFAI9VE2,15.7453924,-86.8947789
52507.54,1698692307,1211,2139,8701333,22664.33,ATM,Order,ECOM,RWUDGJ6LC3,27.845011,117.383641
82746.85,1686251750,3310,6094,2860522,77122.33,MOBILE,Website,Order,EKCZSH8MA5,40.142128,94.661966
48447.26,1697058285,8804,9541,1009711,52765.71,WEB,On-Site,Payment Withdrawal,OTYJVD5UH6,-8.2791,112.9733
89391.91,1701507666,1211,182,5410267,78519.29,POS,Order,Payment Withdrawal,PMXLSZ4QR1,36.7550603,66.8975372
40588.57,1712232955,2247,5420,2110190,32167.48,MOBILE,On-Site,Payment Withdrawal,EKCZSH8MA5,22.980665,116.342934
30346.33,1694587844,2763,5192,1706349,98903.09,PHONE,On-Site,ECOM,HNKFAI9VE2,-6.5322356,105.652983
96787.1,1705180481,2744,1638,3368867,96258.9,ATM,Order,Subscription,XYBTQO2NP7,41.0490009,39.513623
42112.03,1711692296,1585,1301,4338730,59442.41,ATM,ECOM,Subscription,OTYJVD5UH6,20.2993311,106.3581527
2041.61,1711038192,21,8639,1691108,43217.55,WEB,ECOM,Subscription,EKCZSH8MA5,43.34041,44.01868
21953.29,1712316755,3430,2749,8370762,37139.3,ECOM,ECOM,Purchase,HNKFAI9VE2,8.0762129,-73.222102
52764.76,1687899565,7249,6874,2479486,42628.87,ECOM,On-Site,Purchase,XYBTQO2NP7,42.2064232,42.3448676
27694.34,1696541126,9120,4875,3563506,31064.79,ECOM,ECOM,Purchase,HNKFAI9VE2,-18.4001194,47.8699039
87340.88,1682490396,192,3604,4460150,20434.4,MOBILE,Website,Order,HNKFAI9VE2,49.3550162,17.2849522
2274.68,1706469777,2247,9098,732067,89109.49,ATM,Order,ECOM,EKCZSH8MA5,35.1183378,69.2341133
98620.09,1707454575,5895,6807,745411,76638.16,PHONE,On-Site,Payment Withdrawal,XYBTQO2NP7,27.106637,114.964086
